IT8.7/1
ORIGINATOR  "C-ROES"
DESCRIPTOR  "calibration data"
CREATED  "April 2,1999"
MANUFACTURER  "C-ROES"
PROD_DATE  "1999:04"
SERIAL  "Batch average data"
MATERIAL  "Konica Film"
NUMBER_OF_FIELDS  9
BEGIN_DATA_FORMAT
SAMPLE  XYZ_X   XYZ_Y   XYZ_Z   LAB_L   LAB_A   LAB_B   LAB_C   LAB_H
END_DATA_FORMAT
NUMBER_OF_SETS  288
BEGIN_DATA
#ID         X       Y       Z       L       A       B       C       H
A01       3.82    3.19    2.77   20.79   11.94   -1.09   11.99  354.78
A02       5.41    3.58    2.53   22.23   26.69    3.34   26.90    7.13
A03       6.18    3.44    1.85   21.74   37.51    8.67   38.50   13.01
A04       8.07    4.33    1.84   24.73   43.14   13.88   45.32   17.84
A05      16.25   13.79   10.69   43.93   17.90    2.09   18.02    6.66
A06      19.98   14.09    9.61   44.36   35.74    6.38   36.30   10.12
A07      23.94   14.64    8.90   45.13   50.80   10.17   51.81   11.32
A08      24.74   14.28    8.49   44.63   56.44   10.80   57.46   10.83
A09      43.94   42.04   33.00   70.90   10.26    2.43   10.54   13.32
A10      46.58   41.94   31.54   70.83   18.10    4.52   18.66   14.02
A11      47.63   40.60   29.50   69.90   25.08    6.11   25.81   13.69
A12      49.94   40.99   28.53   70.17   30.18    8.15   31.26   15.11
A13      83.80   87.30   68.59   94.86   -0.64    3.05    3.12  101.85
A14      83.85   87.35   68.61   94.89   -0.64    3.07    3.14  101.78
A15      83.85   87.34   68.61   94.88   -0.63    3.06    3.12  101.63
A16      83.84   87.33   68.60   94.88   -0.62    3.07    3.13  101.42
A17      83.91   87.40   68.61   94.91   -0.63    3.11    3.17  101.45
A18      83.92   87.41   68.64   94.91   -0.62    3.09    3.15  101.35
A19      83.93   87.44   68.64   94.93   -0.66    3.11    3.18  101.98
A20      63.45   66.45   37.59   85.23   -1.35   20.59   20.63   93.75
A21      56.88   57.03   32.07   80.20    4.77   19.86   20.42   76.49
A22      67.26   65.26   38.18   84.62    9.81   18.74   21.15   62.37
B01       6.04    5.50    3.71   28.11    8.50    4.93    9.83   30.11
B02       7.30    5.55    2.19   28.26   20.75   16.66   26.61   38.76
B03       8.31    5.57    1.18   28.30   29.93   27.89   40.91   42.98
B04       9.03    5.12    0.45   27.09   41.37   38.18   56.30   42.70
B05      20.31   17.70   10.60   49.13   16.80   11.35   20.27   34.04
B06      23.83   18.45    7.86   50.04   29.20   22.48   36.85   37.59
