IT8.7/1
ORIGINATOR  "C-ROES"
DESCRIPTOR  "calibration data"
CREATED  "April 12, 2000"
MANUFACTURER  "C-ROES"
PROD_DATE  "1999:10"
SERIAL  "Batch average data"
MATERIAL  "Kodak Film"
NUMBER_OF_FIELDS  9
BEGIN_DATA_FORMAT
SAMPLE  XYZ_X   XYZ_Y   XYZ_Z   LAB_L   LAB_A   LAB_B   LAB_C   LAB_H
END_DATA_FORMAT
NUMBER_OF_SETS  288
BEGIN_DATA
#ID         X       Y       Z       L       A       B       C       H
A01       1.98    1.70    1.32   13.85    9.37    1.01    9.42    6.15
A02       2.41    1.64    0.99   13.50   20.03    4.99   20.64   13.99
A03       2.96    1.69    0.89   13.75   29.31    7.16   30.17   13.73
A04       3.63    1.89    0.85   14.88   35.44    9.66   36.73   15.25
A05       9.23    8.09    5.90   34.17   13.55    3.45   13.98   14.28
A06      11.09    8.09    5.24   34.17   27.90    6.72   28.70   13.54
A07      13.10    7.98    4.49   33.94   42.83   10.32   44.06   13.55
A08      15.40    8.08    3.66   34.15   56.13   15.67   58.28   15.60
A09      27.41   27.07   21.85   59.04    6.34    0.93    6.41    8.35
A10      29.42   26.99   20.85   58.97   14.54    2.77   14.80   10.79
A11      32.58   27.91   19.72   59.80   22.56    6.55   23.49   16.19
A12      37.69   28.80   18.74   60.60   36.45   10.01   37.80   15.36
A13      75.73   79.40   63.66   91.41   -0.61    1.72    1.82  109.53
A14      75.85   79.52   63.66   91.47   -0.60    1.81    1.91  108.34
A15      75.74   79.40   63.69   91.42   -0.60    1.68    1.78  109.65
A16      75.82   79.51   63.71   91.46   -0.63    1.75    1.86  109.80
A17      75.83   79.53   63.63   91.47   -0.65    1.85    1.96  109.36
A18      75.93   79.60   63.80   91.50   -0.59    1.74    1.84  108.73
A19      75.95   79.63   63.79   91.52   -0.62    1.77    1.88  109.30
A20      55.31   56.85   35.83   80.10    2.31   14.19   14.38   80.75
A21      51.38   50.40   30.85   76.31    8.52   15.03   17.28   60.45
A22      62.25   59.36   37.16   81.49   12.98   14.75   19.65   48.65
B01       3.13    2.90    1.67   19.63    6.88    6.96    9.79   45.33
B02       3.70    2.88    1.13   19.57   16.32   13.49   21.17   39.58
B03       4.20    2.78    0.74   19.15   25.48   19.02   31.80   36.74
B04       5.02    2.63    0.37   18.49   39.01   24.81   46.23   32.46
B05      11.88   10.95    6.48   39.50   10.57   10.01   14.56   43.44
B06      14.12   11.12    4.25   39.79   24.10   21.75   32.46   42.07
