IT8.7/1
ORIGINATOR  "C-ROES"
DESCRIPTOR  "calibration data"
CREATED  "November 30, 2000"
MANUFACTURER  "C-ROES"
PROD_DATE  "2000:11"
SERIAL  "Batch average data"
MATERIAL  "Kodak Film"
NUMBER_OF_FIELDS  9
BEGIN_DATA_FORMAT
SAMPLE  XYZ_X   XYZ_Y   XYZ_Z   LAB_L   LAB_A   LAB_B   LAB_C   LAB_H
END_DATA_FORMAT
NUMBER_OF_SETS  288
BEGIN_DATA
#ID         X       Y       Z       L       A       B       C       H
A01       2.46    2.00    1.14   15.47   11.41    6.23   13.00   28.64
A02       3.10    2.04    0.99   15.63   22.51    8.77   24.16   21.29
A03       3.77    2.12    0.80   16.06   31.29   12.61   33.73   21.95
A04       4.58    2.33    0.77   17.10   38.19   14.90   41.00   21.32
A05      10.97    9.16    6.28   36.22   16.95    5.35   17.77   17.52
A06      14.41    9.76    5.43   37.35   35.17   11.32   36.94   17.84
A07      17.99   10.27    4.75   38.30   51.54   16.45   54.10   17.70
A08      18.17    9.35    3.95   36.63   59.78   18.15   62.48   16.89
A09      33.15   30.03   22.53   61.63   15.53    4.14   16.08   14.94
A10      36.01   30.42   21.69   61.96   23.92    6.34   24.75   14.85
A11      37.82   30.24   20.79   61.79   30.57    7.86   31.56   14.42
A12      38.46   29.60   18.19   61.25   35.02   12.44   37.16   19.56
A13      75.51   78.61   62.80   91.06   -0.50    1.93    1.99  104.62
A14      75.57   78.68   62.76   91.09   -0.53    2.03    2.10  104.74
A15      75.56   78.66   62.80   91.08   -0.53    1.98    2.05  105.01
A16      75.63   78.75   62.86   91.12   -0.54    1.98    2.05  105.26
A17      75.59   78.70   62.88   91.10   -0.52    1.92    1.99  105.13
A18      75.60   78.70   62.84   91.10   -0.51    1.97    2.03  104.54
A19      75.55   78.65   62.77   91.08   -0.53    2.00    2.07  104.84
A20      52.59   55.29   30.08   79.19   -1.80   21.26   21.33   94.84
A21      49.89   49.82   27.24   75.93    5.13   20.30   20.94   75.82
A22      59.07   57.28   31.28   80.31    9.50   21.32   23.34   65.98
B01       3.71    3.33    1.50   21.26    7.98   11.64   14.11   55.56
B02       4.54    3.32    0.93   21.22   19.87   19.32   27.71   44.20
B03       5.07    3.24    0.70   20.94   27.81   22.85   36.00   39.41
B04       6.05    3.12    0.42   20.49   41.24   27.50   49.57   33.69
B05      13.92   12.06    6.59   41.25   15.33   12.63   19.86   39.48
B06      17.70   13.09    4.42   42.82   30.42   26.08   40.07   40.61
