IT8.7/1
ORIGINATOR  "C-ROES"
DESCRIPTOR  "calibration data"
CREATED  "June 9,1999"
MANUFACTURER  "C-ROES"
PROD_DATE  "1999:05"
SERIAL  "Batch average data"
MATERIAL  "Konica Film"
NUMBER_OF_FIELDS  9
BEGIN_DATA_FORMAT
SAMPLE  XYZ_X   XYZ_Y   XYZ_Z   LAB_L   LAB_A   LAB_B   LAB_C   LAB_H
END_DATA_FORMAT
NUMBER_OF_SETS  288
BEGIN_DATA
#ID         X       Y       Z       L       A       B       C       H
A01       4.07    3.44    3.38   21.74   11.49   -3.87   12.12  341.39
A02       5.18    3.53    3.08   22.07   24.63   -1.25   24.66  357.09
A03       5.64    3.22    2.28   20.91   35.07    3.18   35.21    5.18
A04       7.64    4.18    2.42   24.27   41.19    7.76   41.91   10.67
A05      15.60   13.45   11.53   43.43   16.34   -1.36   16.40  355.24
A06      19.35   13.93   10.36   44.13   33.63    3.51   33.81    5.96
A07      24.21   15.01    9.75   45.65   49.75    8.13   50.41    9.28
A08      25.22   14.76    9.41   45.31   55.55    8.67   56.22    8.87
A09      43.38   41.19   33.04   70.31   11.15    1.36   11.23    6.95
A10      46.25   41.24   31.63   70.34   19.30    3.55   19.62   10.42
A11      47.33   39.87   29.66   69.38   26.46    4.97   26.92   10.64
A12      49.46   40.18   28.68   69.60   31.35    6.93   32.11   12.46
A13      86.19   89.79   70.03   95.91   -0.66    3.54    3.60  100.56
A14      86.20   89.80   70.04   95.91   -0.66    3.54    3.60  100.56
A15      86.14   89.76   70.03   95.90   -0.68    3.52    3.59  100.93
A16      86.11   89.72   69.99   95.88   -0.67    3.52    3.58  100.78
A17      86.14   89.76   70.07   95.90   -0.68    3.48    3.55  101.06
A18      86.05   89.66   69.91   95.85   -0.68    3.56    3.62  100.81
A19      86.08   89.69   69.96   95.87   -0.68    3.54    3.60  100.87
A20      63.48   65.93   37.78   84.96   -0.15   19.88   19.88   90.43
A21      56.51   56.06   32.20   79.65    6.22   18.72   19.73   71.62
A22      66.60   64.04   38.34   83.98   11.08   17.44   20.66   57.57
B01       6.03    5.61    4.37   28.41    7.08    1.45    7.23   11.57
B02       6.66    5.31    2.70   27.60   17.29   11.15   20.57   32.82
B03       7.15    5.01    1.39   26.77   25.70   22.43   34.11   41.11
B04       7.57    4.42    0.63   25.01   37.34   31.18   48.65   39.86
B05      18.99   16.79   11.57   47.99   15.14    6.41   16.44   22.95
B06      22.81   17.85    8.75   49.31   27.77   17.93   33.06   32.85
