IT8.7/2
ORIGINATOR  "C-ROES"
DESCRIPTOR  "calibration data"
CREATED  "March 30,1999"
MANUFACTURER  "C-ROES"
PROD_DATE  "1999:03"
SERIAL  "Batch average data"
MATERIAL  "Fuji Paper"
NUMBER_OF_FIELDS  9
BEGIN_DATA_FORMAT
SAMPLE_ID     XYZ_X     XYZ_Y     XYZ_Z     LAB_L     LAB_A     LAB_B
END_DATA_FORMAT
NUMBER_OF_SETS  288
BEGIN_DATA
#ID         X       Y       Z       L       A       B       C       H
A01       4.47    3.59    2.47   22.27   14.65    3.88   15.15   14.82
A02       6.10    3.95    2.15   23.49   29.05    8.76   30.34   16.78
A03       8.72    5.25    1.79   27.43   37.24   19.06   41.84   27.10
A04       8.92    5.33    1.60   27.65   38.03   21.57   43.72   29.56
A05      14.40   12.15    9.01   41.45   17.71    3.45   18.04   11.01
A06      17.59   12.52    7.74   42.03   33.48    9.14   34.71   15.27
A07      20.43   12.67    6.97   42.26   47.01   12.70   48.69   15.12
A08      22.16   12.19    5.75   41.51   58.40   16.82   60.78   16.06
A09      47.26   46.18   37.30   73.66    7.83    1.06    7.90    7.67
A10      49.31   45.31   35.63   73.10   15.87    2.42   16.06    8.65
A11      51.19   45.26   34.41   73.06   21.03    4.11   21.42   11.05
A12      51.00   43.30   32.19   71.75   26.18    5.13   26.67   11.08
A13      77.10   79.95   67.13   91.66    0.09   -1.13    1.14  274.67
A14      77.12   79.98   67.16   91.68    0.07   -1.13    1.13  273.54
A15      77.14   79.99   67.12   91.68    0.09   -1.09    1.10  274.84
A16      77.10   79.96   67.17   91.66    0.08   -1.17    1.17  273.93
A17      77.18   80.03   67.22   91.70    0.10   -1.15    1.16  275.08
A18      77.27   80.11   67.23   91.74    0.11   -1.10    1.10  275.72
A19      77.38   80.20   67.24   91.77    0.18   -1.04    1.05  279.55
A20      63.11   64.60   38.18   84.28    1.97   18.17   18.28   83.83
A21      57.60   56.56   32.99   79.93    7.68   18.02   19.59   66.93
A22      63.50   61.85   38.09   82.84    9.06   15.80   18.21   60.18
B01       4.25    3.56    2.00   22.15   12.12    7.84   14.43   32.91
B02       5.21    3.65    1.25   22.47   23.30   16.85   28.75   35.88
B03       6.70    4.17    1.15   24.21   32.26   21.27   38.64   33.40
B04       6.84    4.22    1.14   24.39   32.92   21.58   39.37   33.25
B05      14.48   12.00    6.43   41.21   19.24   13.22   23.35   34.49
B06      17.03   12.27    4.20   41.64   32.12   25.28   40.88   38.21
B07      19.88   12.41    2.67   41.87   46.00   36.04   58.44   38.08
B08      20.94   11.64    1.49   40.64   56.46   45.18   72.31   38.67
B09      47.07   46.21   34.77   73.68    7.19    4.64    8.56   32.82
B10      48.97   45.90   30.39   73.48   13.29   10.88   17.17   39.32
B11      50.28   45.15   26.95   72.99   18.93   15.66   24.57   39.60
B12      49.94   43.38   22.74   71.82   23.09   21.22   31.36   42.58
B13      75.02   78.55   67.00   91.03   -1.40   -2.10    2.52  236.28
B14      76.19   78.09   67.00   90.82    1.90   -2.46    3.11  307.58
B15      76.62   79.63   64.04   91.52   -0.25    1.53    1.55   99.19
B16      73.14   75.73   63.32   89.73    0.31   -0.86    0.91  290.08
B17      75.17   77.10   62.98   90.36    1.77    0.57    1.85   17.75
B18      74.24   77.94   63.25   90.75   -1.80    0.97    2.05  151.65
B19      73.26   75.73   66.28   89.73    0.57   -3.66    3.71  278.85
B20      56.29   57.01   37.01   80.19    3.35   12.70   13.14   75.24
B21      64.12   63.63   42.79   83.77    6.41   11.30   12.99   60.42
B22      58.91   56.01   36.60   79.62   12.20   12.30   17.32   45.23
C01       5.35    4.95    2.66   26.60    7.02    9.79   12.05   54.34
C02       5.85    5.00    1.71   26.75   12.24   18.79   22.42   56.92
C03       6.75    5.38    1.37   27.80   17.28   24.47   29.96   54.77
C04       6.86    5.41    1.37   27.87   18.13   24.65   30.60   53.66
C05      27.37   25.78   12.07   57.83   10.42   21.90   24.25   64.55
C06      29.06   25.21    6.16   57.28   19.38   42.14   46.38   65.31
C07      31.06   25.10    2.97   57.17   27.41   60.12   66.07   65.49
C08      32.32   25.81    2.44   57.86   29.00   65.47   71.60   66.11
C09      54.02   54.21   37.96   78.58    4.58    8.64    9.78   62.07
C10      55.38   53.95   30.67   78.44    8.65   18.98   20.86   65.51
C11      55.48   52.95   24.81   77.85   11.42   27.79   30.04   67.66
C12      54.69   51.26   18.69   76.84   13.79   38.11   40.53   70.11
C13      66.43   72.04   64.91   87.99   -6.56   -5.38    8.49  219.36
C14      70.62   68.70   64.38   86.35    9.59   -7.70   12.30  321.24
C15      73.96   77.28   53.14   90.45   -1.07   10.77   10.83   95.66
C16      58.11   60.07   50.28   81.88    0.52   -0.85    1.00  301.46
C17      66.64   64.98   49.40   84.47    9.04    4.62   10.15   27.06
C18      63.15   69.26   50.03   86.63   -8.09    7.63   11.12  136.69
C19      59.29   60.05   61.64   81.86    3.42  -12.79   13.24  284.98
C20      62.98   63.86   45.77   83.89    3.32    7.85    8.53   67.07
C21      57.83   56.71   39.86   80.02    7.86    8.59   11.64   47.52
C22      63.76   61.21   45.73   82.49   11.12    5.50   12.41   26.30
D01       4.94    4.96    2.72   26.62    2.01    9.36    9.57   77.91
D02       4.92    4.91    1.79   26.49    2.32   17.50   17.65   82.45
D03       5.69    5.47    1.45   28.03    4.86   23.89   24.38   78.50
D04       5.67    5.45    1.45   27.99    4.84   23.85   24.34   78.53
D05      30.41   31.29   15.33   62.75    0.96   21.64   21.66   87.45
D06      30.24   31.33    8.30   62.79    0.17   42.82   42.82   89.78
D07      28.91   29.78    4.63   61.46    0.82   57.00   57.00   89.18
D08      28.79   29.77    3.72   61.45    0.41   62.37   62.37   89.63
D09      62.02   64.41   44.15   84.18   -0.15   10.33   10.33   90.83
D10      61.15   63.56   34.71   83.74   -0.26   22.07   22.07   90.68
D11      60.59   63.13   28.20   83.51   -0.59   31.71   31.71   91.06
D12      59.34   61.97   20.82   82.90   -0.92   44.10   44.11   91.20
D13      56.10   63.85   62.32   83.89  -13.07   -9.96   16.43  217.32
D14      64.32   58.25   61.21   80.88   19.35  -14.06   23.92  324.00
D15      71.40   74.76   41.83   89.28   -1.37   22.01   22.05   93.55
D16      43.00   44.46   37.27   72.54    0.44   -0.85    0.96  297.24
D17      57.58   52.54   35.83   77.60   17.65    9.90   20.24   29.28
D18      50.23   58.38   36.90   80.95  -15.52   14.18   21.02  137.59
D19      45.16   44.63   55.64   72.65    6.28  -22.60   23.46  285.52
D20      50.66   50.16   26.79   76.16    6.26   21.43   22.32   73.71
D21      44.67   42.72   23.75   71.37   10.35   18.56   21.25   60.85
D22      52.12   48.16   26.83   74.93   15.43   19.21   24.64   51.22
E01       4.61    5.04    2.76   26.84   -3.13    9.44    9.94  108.33
E02       4.32    5.07    1.83   26.92   -7.44   17.84   19.33  112.64
E03       4.42    5.47    1.53   28.04  -10.88   22.95   25.40  115.37
E04       4.40    5.46    1.53   28.01  -10.93   22.94   25.41  115.47
E05      14.22   16.03    8.43   47.02   -7.41   15.13   16.84  116.11
