IT8.7/2
ORIGINATOR  "C-ROES"
DESCRIPTOR  "calibration data"
CREATED  "April 6,1999"
MANUFACTURER  "C-ROES"
PROD_DATE  "1999:04"
SERIAL  "Batch average data"
MATERIAL  "Fuji Paper"
NUMBER_OF_FIELDS  9
BEGIN_DATA_FORMAT
SAMPLE  XYZ_X   XYZ_Y   XYZ_Z   LAB_L   LAB_A   LAB_B   LAB_C   LAB_H
END_DATA_FORMAT
NUMBER_OF_SETS  288
BEGIN_DATA
#ID         X       Y       Z       L       A       B       C       H
A01       3.96    3.21    2.21   20.84   13.65    3.66   14.13   15.02
A02       5.46    3.56    1.94   22.18   27.53    8.57   28.83   17.29
A03       7.72    4.69    1.59   25.83   35.19   18.47   39.74   27.70
A04       7.93    4.78    1.42   26.09   36.02   20.91   41.65   30.14
A05      12.93   11.02    8.14   39.61   16.24    3.47   16.61   12.04
A06      15.71   11.27    7.00   40.03   31.61    8.71   32.79   15.41
A07      18.46   11.46    6.30   40.35   45.30   12.29   46.94   15.17
A08      20.95   11.47    5.16   40.36   57.70   17.77   60.37   17.12
A09      42.05   41.08   33.00   70.23    7.56    1.28    7.67    9.63
A10      44.39   40.68   31.57   69.96   15.64    2.98   15.92   10.77
A11      46.85   41.07   30.45   70.23   21.45    5.18   22.07   13.56
A12      48.12   40.08   28.47   69.53   28.00    7.16   28.90   14.34
A13      76.82   79.62   66.84   91.51    0.18   -1.12    1.13  279.01
A14      76.82   79.62   66.88   91.51    0.18   -1.15    1.17  278.63
A15      76.83   79.63   66.75   91.52    0.18   -1.03    1.05  279.78
A16      76.83   79.63   66.79   91.52    0.17   -1.06    1.07  279.26
A17      76.90   79.68   66.82   91.54    0.23   -1.05    1.08  282.07
A18      76.97   79.73   66.86   91.56    0.24   -1.05    1.08  282.97
A19      76.85   79.65   66.78   91.52    0.18   -1.05    1.06  279.77
A20      57.77   58.86   34.04   81.21    2.56   18.69   18.86   82.19
A21      52.41   51.07   29.31   76.72    8.44   18.19   20.05   65.13
A22      60.28   57.44   33.99   80.43   11.98   17.40   21.12   55.46
B01       3.77    3.18    1.79   20.77   11.20    7.59   13.52   34.11
B02       4.60    3.23    1.16   20.95   22.07   15.52   26.98   35.11
B03       5.96    3.74    1.08   22.79   30.53   19.82   36.40   32.99
B04       6.07    3.78    1.07   22.92   31.10   20.14   37.05   32.92
B05      12.96   10.86    5.80   39.34   17.65   12.86   21.83   36.07
B06      15.28   11.13    3.82   39.79   30.14   24.36   38.75   38.94
