IT8.7/2
ORIGINATOR  "DCS"
DESCRIPTOR  "calibration data"
CREATED  "Mai 29,1998"
MANUFACTURER  "DCS"
PROD_DATE  "1998:10"
SERIAL  "Batch average data"
MATERIAL  "Kodak Paper"
NUMBER_OF_FIELDS  9
BEGIN_DATA_FORMAT
SAMPLE_ID  XYZ_X  XYZ_Y  XYZ_Z  LAB_L  LAB_A  LAB_B  LAB_C  LAB_H
END_DATA_FORMAT
NUMBER_OF_SETS  288
BEGIN_DATA
#ID         X       Y       Z       L       A       B       C       H
A01       3.79    3.08    2.38   20.37   13.33    1.35   13.40     5.8
A02       4.72    2.77    1.78   19.08   31.69    4.80   32.05     8.6
A03       6.60    3.62    1.29   22.35   39.26   16.07   42.42    22.3
A04       6.72    3.65    1.06   22.49   39.86   19.53   44.39    26.1
A05      13.43   11.67    9.49   40.69   14.84    0.47   14.85     1.8
A06      15.68   11.44    7.94   40.32   30.18    5.42   30.66    10.2
A07      17.35   10.83    6.84   39.28   44.06    8.11   44.80    10.4
A08      17.44    9.20    5.25   36.37   57.07   10.43   58.02    10.4
A09      45.90   45.63   37.78   73.31    5.52   -0.21    5.53   357.8
A10      48.02   44.85   36.30   72.79   13.64    0.94   13.67     4.0
A11      50.02   44.66   34.80   72.67   19.62    2.86   19.82     8.3
A12      50.44   42.92   32.56   71.51   25.77    4.13   26.10     9.1
A13      77.03   79.66   66.50   91.53    0.52   -0.77    0.93   304.0
A14      77.00   79.62   66.52   91.51    0.53   -0.82    0.98   302.6
A15      76.89   79.50   66.38   91.46    0.54   -0.78    0.94   304.6
A16      76.89   79.51   66.33   91.47    0.52   -0.72    0.89   305.6
A17      76.95   79.57   66.40   91.49    0.53   -0.74    0.91   305.4
A18      76.97   79.59   66.44   91.50    0.53   -0.77    0.93   304.6
A19      77.00   79.62   66.43   91.51    0.53   -0.73    0.91   306.0
A20      61.36   63.08   39.28   83.49    1.32   15.32   15.38    85.1
A21      56.02   55.50   34.32   79.33    6.39   15.02   16.32    67.0
A22      63.54   61.64   39.19   82.72    9.62   14.13   17.09    55.7
B01       3.55    3.01    1.70   20.10   10.68    7.36   12.98    34.6
B02       4.05    2.75    0.86   19.02   22.82   16.66   28.25    36.1
B03       5.11    2.91    0.71   19.68   34.07   20.53   39.78    31.1
B04       5.22    2.90    0.70   19.64   35.59   20.74   41.20    30.2
B05      13.20   11.25    6.55   39.99   16.37   10.59   19.50    32.9
B06      14.80   10.91    3.97   39.43   28.81   22.84   36.76    38.4
