IT8.7/2
ORIGINATOR  "C-ROES"
DESCRIPTOR  "calibration data"
CREATED  "October 20,1999"
MANUFACTURER  "C-ROES"
PROD_DATE  "1999:10"
SERIAL  "Batch average data"
MATERIAL  "Kodak Paper"
NUMBER_OF_FIELDS  9
BEGIN_DATA_FORMAT
SAMPLE  XYZ_X   XYZ_Y   XYZ_Z   LAB_L   LAB_A   LAB_B   LAB_C   LAB_H
END_DATA_FORMAT
NUMBER_OF_SETS  288
BEGIN_DATA
#ID         X       Y       Z       L       A       B       C       H
A01       4.35    3.59    2.50   22.27   12.96    3.66   13.47   15.75
A02       5.36    3.56    2.16   22.15   26.33    6.43   27.10   13.72
A03       6.83    4.21    2.11   24.34   33.02   10.65   34.69   17.88
A04       6.84    4.21    2.13   24.34   33.04   10.50   34.66   17.64
A05      14.21   12.33    9.18   41.73   15.27    3.36   15.64   12.42
A06      17.16   12.42    8.06   41.86   31.84    7.69   32.75   13.58
A07      18.72   11.86    7.00   40.98   43.93   10.39   45.15   13.30
A08      20.94   11.72    6.21   40.77   55.87   13.44   57.46   13.53
A09      44.06   42.49   34.42   71.20    9.30    0.88    9.34    5.39
A10      46.68   42.94   34.36   71.51   15.44    1.51   15.51    5.59
A11      48.76   43.50   33.74   71.89   19.56    3.06   19.80    8.90
A12      51.27   43.60   32.60   71.96   25.98    4.88   26.44   10.64
A13      75.39   78.32   62.49   90.93   -0.20    2.01    2.02   95.79
A14      75.40   78.34   62.47   90.93   -0.20    2.04    2.05   95.51
A15      75.42   78.36   62.48   90.94   -0.20    2.05    2.06   95.57
A16      75.38   78.31   62.39   90.92   -0.20    2.10    2.11   95.45
A17      75.39   78.32   62.39   90.93   -0.19    2.10    2.11   95.19
A18      75.37   78.31   62.37   90.92   -0.20    2.11    2.12   95.37
A19      75.34   78.27   62.33   90.90   -0.18    2.12    2.13   94.87
A20      56.11   55.56   33.94   79.36    6.46   15.66   16.93   67.59
A21      51.61   49.20   30.13   75.57   11.30   14.92   18.71   52.87
A22      57.34   52.96   31.30   77.85   16.00   17.02   23.36   46.77
B01       4.05    3.51    1.83   21.96   10.20    9.30   13.80   42.36
B02       4.79    3.58    1.12   22.21   19.08   18.23   26.39   43.69
B03       5.59    3.62    0.76   22.35   28.23   24.23   37.20   40.65
B04       5.51    3.44    0.74   21.72   29.93   23.39   37.98   38.01
B05      14.47   12.37    6.73   41.79   16.61   12.93   21.05   37.89
B06      16.70   12.31    4.34   41.70   29.99   24.54   38.75   39.28
