IT8.7/2
ORIGINATOR  "C-ROES"
DESCRIPTOR  "calibration data"
CREATED  "July 20,2000"
MANUFACTURER  "C-ROES"
PROD_DATE  "2000:06"
SERIAL  "Batch average data"
MATERIAL  "Kodak Paper"
NUMBER_OF_FIELDS  9
BEGIN_DATA_FORMAT
SAMPLE  XYZ_X   XYZ_Y   XYZ_Z   LAB_L   LAB_A   LAB_B   LAB_C   LAB_H
END_DATA_FORMAT
NUMBER_OF_SETS  288
BEGIN_DATA
#ID         X       Y       Z       L       A       B       C       H
A01       3.80    3.17    2.29   20.71   11.79    2.76   12.11   13.16
A02       4.68    3.16    1.92   20.67   24.29    6.19   25.07   14.29
A03       6.12    3.75    2.15   22.82   32.17    7.63   33.06   13.33
A04       6.29    3.83    2.11   23.10   32.77    8.50   33.86   14.53
A05      13.40   11.60    8.98   40.57   15.19    2.04   15.33    7.66
A06      15.86   11.65    7.56   40.65   29.78    7.52   30.71   14.18
A07      18.45   11.69    6.51   40.72   43.67   12.00   45.29   15.36
A08      21.13   11.59    5.83   40.55   57.73   14.79   59.59   14.37
A09      45.35   43.75   35.72   72.06    9.30    0.51    9.32    3.15
A10      46.70   42.56   34.36   71.25   16.63    1.05   16.67    3.60
A11      48.33   41.83   32.94   70.75   23.30    2.28   23.41    5.58
A12      51.81   44.14   34.30   72.32   25.85    2.98   26.02    6.58
A13      77.49   80.33   67.66   91.83    0.13   -1.33    1.34  275.58
A14      77.58   80.43   67.70   91.88    0.12   -1.29    1.29  275.25
A15      77.58   80.43   67.67   91.88    0.12   -1.27    1.27  275.27
A16      77.58   80.45   67.72   91.89    0.11   -1.30    1.30  274.62
A17      77.60   80.45   67.72   91.89    0.12   -1.29    1.30  275.38
A18      77.60   80.46   67.72   91.89    0.11   -1.29    1.29  274.89
A19      77.63   80.49   67.75   91.90    0.11   -1.29    1.29  274.81
A20      58.95   60.99   37.68   82.37    0.42   15.56   15.57   88.46
A21      55.37   54.42   32.70   78.70    7.47   16.34   17.97   65.44
A22      64.99   64.29   41.30   84.06    7.05   13.85   15.54   63.02
B01       3.64    3.17    1.77   20.69    9.49    7.69   12.21   38.99
B02       4.13    3.04    0.94   20.18   19.02   17.39   25.78   42.44
B03       4.81    3.07    0.67   20.32   27.49   22.30   35.40   39.05
B04       4.98    3.12    0.67   20.49   28.96   22.63   36.75   38.01
B05      13.47   11.55    6.54   40.48   16.05   11.46   19.72   35.53
B06      15.37   11.52    4.38   40.44   27.84   22.14   35.57   38.49
