IT8.7/1
ORIGINATOR "Wolf Faust"
DESCRIPTOR "Ektachrome Type 3, L* a* b* (light D50, viewing angle 2)"
MANUFACTURER "Wolf Faust - http://www.coloraid.de"
CREATED "May 3, 2002"
PROD_DATE "2002:02"
SERIAL "E020429 Batch Average Data without Statistics"
MATERIAL "For Kodak Ektachrome Product Family"
NUMBER_OF_FIELDS 9
BEGIN_DATA_FORMAT
SAMPLE_ID   XYZ_X   XYZ_Y   XYZ_Z          LAB_L   LAB_A   LAB_B          LAB_C   LAB_H
END_DATA_FORMAT
NUMBER_OF_SETS 288
BEGIN_DATA
A1           2.01    1.72    1.21          13.93    8.69    2.60           9.07   16.64
A2           2.57    1.76    0.98          14.15   19.41    6.36          20.43   18.13
A3           3.17    1.82    0.92          14.51   28.63    7.97          29.72   15.57
A4           3.91    1.77    0.64          14.25   41.32   12.58          43.19   16.92
A5           8.95    7.78    5.48          33.52   12.91    4.38          13.64   18.75
A6          10.78    7.81    4.63          33.58   27.16    8.92          28.59   18.18
A7          13.26    8.14    4.10          34.28   41.36   13.19          43.41   17.68
A8          15.89    8.14    3.46          34.27   57.44   17.22          59.96   16.69
A9          27.81   27.68   21.44          59.60    4.51    2.72           5.27   31.25
A10         30.05   28.01   20.12          59.89   11.87    5.90          13.26   26.46
A11         31.69   27.73   18.78          59.64   18.98    8.31          20.73   23.65
A12         36.95   28.92   16.98          60.70   32.56   14.17          35.51   23.52
A13         76.50   79.81   64.85          91.60   -0.91    0.95           1.32   134.05
A14         76.93   79.51   64.74          91.46    0.54    0.82           0.99   56.16
A15         77.73   80.74   64.85          92.01   -0.23    1.67           1.68   97.97
A16         76.03   78.97   64.80          91.22   -0.23    0.35           0.43   124.34
A17         76.97   79.55   64.79          91.48    0.54    0.81           0.97   55.73
A18         76.78   80.12   65.17          91.74   -0.94    0.89           1.29   136.89
A19         76.12   79.05   65.27          91.26   -0.22   -0.03           0.25   186.50
A20          1.92    1.20    0.40          10.56   21.01   10.75          23.61   27.09
A21          5.33    2.81    0.33          19.25   38.51   26.95          47.00   34.99
A22          9.48    4.51    0.26          25.29   52.80   38.62          65.42   36.18
B1           3.05    2.73    1.50          18.91    7.57    7.58          10.72   45.06
B2           3.44    2.53    0.91          18.05   17.81   14.18          22.77   38.53
B3           4.19    2.72    0.58          18.87   25.43   21.61          33.37   40.35
B4           4.91    2.65    0.09          18.58   36.24   30.31          47.24   39.91
B5          11.52   10.35    5.77          38.45   11.57   11.50          16.32   44.83
