IT8.7/2
ORIGINATOR "Wolf Faust"
DESCRIPTOR "L* a* b* Batch average data (Illuminant C, viewing angle 2)"
MANUFACTURER "Wolf Faust - http://www.coloraid.de"
CREATED "January 07, 2002"
PROD_DATE "2001:12"
SERIAL "DIN A4  R012020"
MATERIAL "Kodak Professional Digital 3 - Non-Glossy"
NUMBER_OF_FIELDS 9
BEGIN_DATA_FORMAT
SAMPLE_ID   XYZ_X   XYZ_Y   XYZ_Z          LAB_L   LAB_A   LAB_B          LAB_C   LAB_H
END_DATA_FORMAT
NUMBER_OF_SETS 288
BEGIN_DATA
A1           3.14    2.67    2.68          18.69   10.17   -4.00          10.93   338.51
A2           3.84    2.63    2.24          18.46   22.21   -0.63          22.23   358.38
A3           5.39    3.24    2.48          20.98   31.84    1.59          31.89    2.85
A4           4.00    2.54    2.05          18.06   26.36    0.33          26.36    0.71
A5          11.71   10.18   10.43          38.16   14.16   -7.00          15.80   333.69
A6          13.91   10.32    8.94          38.41   27.70   -1.53          27.74   356.82
A7          16.36   10.48    7.72          38.70   41.03    3.52          41.17    4.91
A8          19.52   10.21    6.43          38.21   59.93    8.04          60.47    7.64
A9          40.58   39.34   43.35          69.00    8.35  -14.83          17.02   299.38
A10         42.60   39.38   41.81          69.03   14.32  -12.85          19.23   318.10
A11         44.68   39.35   40.17          69.00   20.52  -10.77          23.18   332.30
A12         47.47   39.47   38.21          69.09   28.05   -8.03          29.17   344.03
A13         81.10   83.25   98.91          93.13    1.61  -24.31          24.36   273.79
A14         79.61   80.48   98.05          91.90    3.99  -25.80          26.10   278.79
A15         80.39   82.88   95.16          92.96    0.94  -21.87          21.88   272.44
A16         78.61   79.64   94.12          91.53    3.63  -23.57          23.85   278.76
A17         78.67   79.73   94.12          91.56    3.58  -23.51          23.77   278.66
A18         80.42   82.94   94.94          93.00    0.86  -21.65          21.67   272.28
A19         79.56   80.21   97.90          91.78    4.40  -25.90          26.27   279.64
A20          1.06    0.93    0.96           8.32    6.16   -3.40           7.03   331.11
A21          4.34    2.83    1.02          19.36   25.45   14.70          29.38   30.02
A22          8.95    5.24    1.09          27.41   39.28   27.52          47.97   35.02
B1           3.00    2.70    2.12          18.80    7.26    1.02           7.34    7.95
B2           3.44    2.66    1.31          18.60   15.39    9.32          18.00   31.20
B3           3.60    2.59    1.10          18.31   19.23   11.76          22.54   31.46
B4           4.00    2.82    1.09          19.28   20.97   13.64          25.01   33.05
B5          11.59   10.13    7.57          38.06   13.70    3.00          14.02   12.36
