IT8.7/2
ORIGINATOR "Wolf Faust"
DESCRIPTOR "L* a* b* Batch average data (light D55, viewing angle 2)"
MANUFACTURER "Wolf Faust - http://www.coloraid.de"
CREATED "January 07, 2002"
PROD_DATE "2001:12"
SERIAL "DIN A4  R012020"
MATERIAL "Kodak Professional Digital 3 - Non-Glossy"
NUMBER_OF_FIELDS 9
BEGIN_DATA_FORMAT
SAMPLE_ID   XYZ_X   XYZ_Y   XYZ_Z          LAB_L   LAB_A   LAB_B          LAB_C   LAB_H
END_DATA_FORMAT
NUMBER_OF_SETS 288
BEGIN_DATA
A1           3.17    2.69    2.13          18.76   10.34    0.79          10.37    4.37
A2           3.94    2.67    1.77          18.69   22.71    4.32          23.13   10.78
A3           5.57    3.33    1.94          21.32   32.44    7.01          33.19   12.20
A4           4.12    2.59    1.62          18.32   26.88    5.28          27.39   11.11
A5          11.72   10.23    8.23          38.24   13.86    0.76          13.88    3.11
A6          14.15   10.48    7.03          38.67   28.02    6.27          28.72   12.61
A7          16.84   10.73    6.05          39.14   41.81   11.32          43.31   15.16
A8          20.31   10.61    4.99          38.90   60.80   16.16          62.92   14.88
A9          40.06   39.45   34.00          69.07    6.41   -2.15           6.76   341.47
A10         42.28   39.58   32.77          69.17   12.77   -0.15          12.77   359.34
A11         44.59   39.63   31.45          69.20   19.38    1.90          19.48    5.61
A12         47.65   39.84   29.87          69.36   27.38    4.64          27.77    9.63
A13         79.13   83.26   77.16          93.13   -2.26   -7.42           7.76   253.04
A14         77.66   80.48   76.43          91.90    0.11   -8.91           8.91   270.68
A15         78.56   82.89   74.27          92.97   -2.70   -5.22           5.88   242.56
A16         76.81   79.67   73.40          91.53   -0.01   -6.93           6.93   269.88
A17         76.88   79.76   73.41          91.58   -0.06   -6.87           6.87   269.51
A18         78.62   82.98   74.13          93.00   -2.74   -5.03           5.72   241.35
A19         77.59   80.20   76.28          91.78    0.52   -9.02           9.03   273.30
A20          1.06    0.93    0.77           8.36    6.34   -0.14           6.34   358.78
A21          4.53    2.92    0.82          19.72   26.42   18.58          32.30   35.11
A22          9.40    5.45    0.88          27.97   40.59   31.77          51.55   38.04
B1           3.04    2.71    1.70          18.87    7.65    5.29           9.30   34.64
B2           3.54    2.70    1.06          18.79   16.22   13.13          20.87   38.97
B3           3.73    2.65    0.89          18.57   20.13   15.49          25.40   37.58
B4           4.15    2.89    0.88          19.58   21.90   17.31          27.92   38.34
B5          11.75   10.22    6.03          38.23   14.07    9.89          17.20   35.13
