IT8.7/2
ORIGINATOR "Wolf Faust"
DESCRIPTOR "L* a* b* Batch average data (light D50, viewing angle 2, black backing)"
MANUFACTURER "Wolf Faust - http://www.coloraid.de"
CREATED "March 15, 2001"
PROD_DATE "2001:03"
SERIAL "5x7 R010315"
MATERIAL "Kodak Professional Digital 3"
NUMBER_OF_FIELDS 9
BEGIN_DATA_FORMAT
SAMPLE_ID   XYZ_X   XYZ_Y   XYZ_Z          LAB_L   LAB_A   LAB_B          LAB_C   LAB_H
END_DATA_FORMAT
NUMBER_OF_SETS 288
BEGIN_DATA
A1           3.08    2.59    1.90          18.31   10.83    2.22          11.06   11.63
A2           3.90    2.64    1.64          18.55   22.76    5.41          23.40   13.37
A3           5.96    3.52    1.77          22.03   33.79   10.00          35.24   16.49
A4           4.25    2.65    1.54          18.58   27.51    6.53          28.27   13.36
A5          11.48    9.94    7.00          37.73   14.40    4.75          15.18   18.30
A6          14.16   10.36    6.17          38.49   28.96    9.70          30.55   18.53
A7          16.97   10.68    5.30          39.03   43.00   14.76          45.46   18.94
A8          21.16   10.97    4.46          39.53   62.22   20.12          65.39   17.92
A9          40.25   39.42   30.89          69.05    7.09    2.49           7.52   19.36
A10         42.37   39.32   29.66          68.98   13.83    4.30          14.49   17.28
A11         45.11   39.79   28.59          69.32   20.41    6.61          21.45   17.95
A12         48.67   40.12   26.93          69.55   29.35    9.79          30.95   18.46
A13         79.98   83.38   70.66          93.18   -0.82   -1.70           1.89   244.06
A14         78.77   81.14   70.11          92.20    1.05   -2.90           3.09   289.82
A15         79.31   82.98   67.37          93.00   -1.36    1.00           1.69   144.05
A16         77.96   80.48   66.67          91.90    0.73   -0.27           0.79   340.61
A17         77.94   80.44   66.71          91.88    0.76   -0.32           0.83   337.01
A18         79.29   82.96   67.26          93.00   -1.38    1.08           1.75   142.21
A19         78.71   80.98   70.08          92.12    1.24   -3.00           3.24   292.48
A20          1.13    0.94    0.66           8.47    8.06    2.20           8.36   15.29
A21          4.70    2.99    0.70          20.01   27.39   21.24          34.66   37.80
A22          9.92    5.66    0.78          28.53   42.33   34.46          54.58   39.15
B1           2.92    2.56    1.55          18.20    8.55    5.78          10.32   34.03
B2           3.51    2.65    0.96          18.58   16.67   14.26          21.94   40.54
B3           5.01    3.37    0.79          21.47   25.06   22.14          33.44   41.47
B4           4.07    2.68    0.61          18.71   24.53   20.68          32.08   40.13
B5          11.66   10.01    5.14          37.87   15.06   13.57          20.28   42.03
B6          13.90   10.35    3.58          38.46   27.42   23.59          36.18   40.70
